,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,caption
10,cKwKQ8Pn3z4,Dani Walker,A messy travel vlog to Gdańsk Poland,"I'll admit, I've had much better trips abroad. Quite a few things went wrong on this trip, that I certainly didn't plan for. But, regardless of all the travel struggles, I still enjoyed seeing the city of Gdańsk for the first time. It's old town reminded me of a Hallmark movie. 

Shop my MERCH STORE: https://shop-dani-walker.creator-spring.com/
SUBSCRIBE: https://bit.ly/3kmqgDv
WWW.DANIWALKEROFFICIAL.COM
Instagram: https://goo.gl/CVCTSB
TikTok: https://bit.ly/2y6QeY1
Twitter: https://bit.ly/2Z86d0u
Facebook: https://goo.gl/Wm8M6H
Pinterest: https://bit.ly/39t9InJ
Blog: https://bit.ly/3aTiVGg

#daniwalker","['Dani Walker', 'gdańsk poland', 'gdansk', 'gdansk poland', 'poland', 'poland travel', 'gdansk city guide', 'things to do in gdansk', 'gdansk vlog', 'gdańsk', 'gdansk city', 'gdansk what to do', 'gdansk travel guide', 'gdansk travel', 'gdansk must see', 'gdansk poland vlog', 'gdansk poland travel guide', 'what to do in gdansk', 'gdańsk travel', 'gdansk tourism', 'polish food', 'poland vlog', 'gdańsk things to do', 'poland travel guide', 'travel poland', 'visit gdańsk']",2022-11-23T19:36:37Z,127,14,,8,PT17M29S,false
11,y6E1L6KVwYw,touropia,17 Most Beautiful Countries in Europe - Travel Video,"Check out all the places seen in this video:  https://www.touropia.com/best-countries-to-visit-in-europe/
Packed full of incredible historical sights, important cultural landmarks, and beautiful scenery, Europe is a treat to explore. With each of its 44 countries home to different people, languages, and cultures, however, it can be hard to know where to start. Besides its world-class cities, Europe has a myriad of historic towns and idyllic villages for you to discover. Add in picture-perfect beaches and scenic mountains, as well as exciting magical fairytale castles and ancient ruins, and it is easy to see why Europe attracts more than half of all of the tourists in the world.","['europe', 'europe travel', 'netherlands', 'norway', 'switzerland', 'austria', 'france', 'portugal', 'spain', 'greece', 'montenegro', 'croatia', 'germany', 'england', 'scotland', 'poland', 'romania', 'russia', 'iceland', 'italy']",2022-02-01T15:09:18Z,2901973,35012,,1027,PT26M43S,false
12,L5JORXmV_A0,touropia,10 Best Places to Visit in Spain - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-spain/ 

Splendid beaches, delicious cuisine, vibrant nightlife and lively fiestas all make Spain one of Europe’s best getaways. Because Spain encompasses several autonomous regions and islands, the country boasts one of the most widely diverse cultures and landscapes on the continent. Here’s a look at the top places to visit in Spain:","['spain', 'spain travel', 'spain tourism', 'barcelona', 'madrid', 'mallorca', 'granada', 'cordoba', 'seville', 'santiago de compostela', 'San Sebastian', 'valencia', 'toledo']",2020-07-03T13:24:52Z,1850021,17287,,1007,PT16M41S,true
13,3SsK-cxlj_w,touropia,25 Greatest Natural Wonders of the World - Travel Video,"Massive glaciers, staggering mountains, plains dotted with wild animals: We sure live in a big, beautiful world. And while pinpointing all of Mother Nature's greatest hits could take a lifetime, we think these out-of-this-world landscapes and awe-inspiring wonders, from Arizona to Antarctica, need to move to the very top of your travel list.","['Serengeti', 'Amazon', 'halong bay', 'Grand Canyon', 'victoria falls', 'natural wonders', 'Antarctica', 'natural attractions', 'Northern Lights', 'Pamukkale', 'Sahara Desert', 'Wadi Rum']",2021-07-14T13:11:57Z,17816451,103809,,2743,PT35M4S,true
14,fcKXwYm6tdI,Trip In A Van - RoadTrip Australia Series,A Beachfront Cracka & Epic Bush Camp on QLD roadtrip & Aircon in a Rooftop Tent  Roadtrip Australia.,"Welcome back Legends to another vid. This ones a Qld Roadtrip and we find some great spots to pull up you're van.
So much going on in this one!!
- 3 wicked Hip Camps, Maroochy River, Gunna Park, Burrum Heads!!
- A new lid for the 200, Bush Company Roof Top Tent
- The best rainbow we've ever seen
- A Venison Stroganoff 
- Shed Sessions - We test an Offgrid Aircon - the EcoFlow Wave

Good times in a mission out of Base Camp Qld. Check out the info below for more from the video. 

Find ECOFLOW WAVE Aircon here:
https://au.ecoflow.com/collections/smart-appliances?aff=47

Best time to get your camping/vanlife/outdoors gears from EcoFlow! EcoFlow Black Friday(Nov.14 ~ Nov.28) - More units & bundles with bigger capacity are on discount! Some up to $700 off! Check it out:
https://au.ecoflow.com/pages/black-friday?aff=47

Info links: 
Our digital Products here - https://bit.ly/35UyDQg
Our Merchandise here - https://bit.ly/3x4ELBG 
DISCOUNTS ON ALL THE GEAR WE USE : https://bit.ly/35Reyun

It all started when…
In December 2015 we packed up and hit the road for what we thought would be a 12 month Lap of Oz. Fast forward 6 years and we are creating a video series of our travels to show you all what it’s like to live life on the road!!

You can catch up with our travels on social media:
Instagram - https://www.instagram.com/TRIPINAVAN​
                   - https://bit.ly/35QS1Oh
Facebook - https://www.facebook.com/tripinavan​

Our most watched Episode - https://youtu.be/RcQEdePbe24​​","['travel', 'QLD', 'caravanning', 'trip in a van', 'roadtrip australia', 'big lap', 'offroad', 'off grid', 'family', 'travel australia', 'free camp', 'hip camp', 'lap of oz']",2022-11-19T20:59:39Z,149964,1824,,782,PT40M52S,false
15,NUDBwBJeKvY,touropia,25 Most Beautiful Destinations in America - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/most-beautiful-places-in-america/

One of the largest countries in the world, the United States boast dazzling and delightful scenery, with dramatic coastlines, lovely lakes, and desolate desert landscapes. Between the Rockies in the west and the Blue Ridge Mountains in the east are all kinds of natural and human-made wonders, as well as some of the best and most beautiful national parks in the world. One of the best ways to see America' most beautiful destinations is to take an unforgettable road trip, stopping off at its most famous and photographed sights as you go.","['usa travel', 'us travel', 'usa tourism', 'us tourism', 'usa', 'america', 'america travel', 'Bonneville Salt Flats', 'Antelope Canyon', 'Blue Ridge Parkway', 'Great Sand Dunes', 'Nā Pali Coast', 'Horseshoe Bend']",2020-11-05T21:37:37Z,7528852,74984,,1156,PT34M47S,true
16,jCbEI2-mFMQ,touropia,30 Most Beautiful Cities in the World - Travel Video,"Cities are often associated with culture and excitement rather than beauty, yet many of the world’s urban hubs rival the prettiest villages and the most striking natural wonders in the looks department. These are the beautiful cities with breathtaking surroundings, awe-inspiring architecture and landmarks that have stood for centuries. From colorful old towns to sleek modern skylines, here’s a look at the most beautiful cities in the world.","['city', 'city travel', 'tourism', 'world cities', 'new york city', 'rome', 'istanbul', 'hong kong', 'paris', 'london', 'dubrovnik', 'cartagena', 'venice', 'vancouver', 'Tallinn', 'bruges', 'Luang Prabang', 'chiang mai', 'rio de janeiro', 'cusco', 'dubai', 'prague', 'singapore', 'sydney', 'San Miguel de Allende', 'st petersburg', 'hoi an', 'Chefchaouen', 'San Francisco', 'jaipur', 'kyoto', 'cape town']",2021-12-08T14:00:16Z,2784746,23074,,1118,PT48M28S,false
17,TXQz9UaKskc,Solo Solo Travel,3 Days on America’s MOST SCENIC Train | Chicago - San Francisco,"Today we will ride across America on its most scenic Overnight train, the California Zephyr for 3 days.

Fee: 1,000USD/80,000INR/140,000JPY/1,300CAD/1,000EUR/900GBP/1,300,000KRW/60,000RUB
Route: Chicago - San Fransisco (84 Hours/4000km(2400km))
Train: Amtrak Superliner Express
Type: Roomette
Experience: Sugoi Landscape

0:00 introduction 
0:39 route and fees 
2:37 Room Tour  
4:17 Train Tour
6:16 Dinner Day (1) 
8:18 Day (2) Morning from the Rocky Mountains. 
10:05 Breakfast Day (2)
11:35 Entering the Rocky Mountains
14:04 Lunch Day (2) 
14:45 Entering the US Canyon
17:41 Dinner Day (2) 
18:48 Day (3) Morning from Nevada
19:08 Breakfast Day (3) 
20:00 Entering California
21:12 Lunch Day (3) 
22:10 Arriving at San Francisco (Emeryville Station)
23:00 Thanks for watching!","['yt:cc=on', 'solo travel', 'solo travel japan', 'solo travel vlog', 'solo travel america', 'solo train travel']",2022-11-21T14:00:17Z,102545,5052,,420,PT23M33S,true
18,RIog_ZFw2Xs,Binario 12,බංඩියත් එක්ක පලවෙනි TRAVEL එක👼🏼 | Sleeping In The Car🚗 | Binario 12,"#wearepregnant #B12Baby #travellingwhilepregnant #travelwithbabybump #binario12 

Today we bring you our first trip with the baby bump!
It was a much desired trip as we faced a big scare after finding out we were pregnant!  Thanks God everything went well and today we are here to tell you about our adventure!  Enjoy the video ❤️
Love you 😘 


✅Don't forget to Subscribe our channel
 https://www.youtube.com/channel/UCLeX4HuPLINkrDoCHuEwVMQ?view_as=subscriber

✅Follow us on Instagram
https://www.instagram.com/binario_12/

 🎥eqipement
- Sony alpha 7R iii
- Iphone 11 Pro
- GoPro MAX


 ☮️💟
 Travel more
 Love better
 Hate less","['sri lanka', 'travel vlog', 'sinhala', 'sri lankan couple', 'travel', 'travel video', 'travel srilanka', 'camping', 'travel advicer', 'travel guide', 'binario12', 'travel couple', 'adventure', 'Breaking news', 'Binario', 'Black wedding', 'DAY BY DAY', 'DAY BY DAY VLOGS', 'chiranthana', 'nady', 'breaking news', 'binario 12 backstage channel', 'italy', 'binario 12 wedding', 'binario 12 tik tok', 'binario 12 new', 'Travelling while pregnant', 'Sleeping in the car', 'New baby', 'Pregnant couple']",2022-11-19T11:30:03Z,113942,6921,,621,PT36M26S,false
19,pb2seuHer3k,Travel with Luke Damant,$400 Reward for Indian Man's Surgery 🇮🇳,"Udaipur, India ➖ Today I'm coming back to the man who made my Air Pods case so I can give him some money for his surgery. When we were discussing yesterday his health issues, I feel like I needed to help. Surgery is hard to come by for leather workers, as they don't earn that much, so I know this will be a big help to him. Whether he uses this money for surgery, or to help out his family, I know this will be of great assistance to him and his future.

FOLLOW ME ❤️
► Instagram: https://www.instagram.com/lukedamant
► 2nd Channel: https://www.youtube.com/channel/UCW4L-djcP2Uy6WylDlbgZug
► Tik Tok: https://www.tiktok.com/@lukedamant
► Facebook: https://www.facebook.com/LukeDamantt
► Email: lukedamantbusiness@gmail.com
► Website: https://www.lukedamant.com/

SUPPORT THIS CHANNEL ❤️
►Subscribe: https://www.youtube.com/channel/UCWm__g4cPmX-umorqM8VfWw?sub_confirmation=1

* TIMESTAMPS *
0:00 Chai
9:00 Asking if this is an honest price
14:10 Heading to the store
16:00 Bike ride
18:50 Inside his home
30:00 Chai time
35:05 Goodbye

#india #lukedamant","['luke', 'luke damant', 'damant', 'travel', 'traveler', 'traveller', 'travel with luke damant', 'travel vlog', 'travel vlogger', 'luke damant travel', 'chase your dreams', 'travel tips', 'travel channel', 'asia', 'india', 'indias', 'delhi', 'jaipur', 'paharganj', 'rajasthan', 'india travel', 'kerala', 'jai hind', 'udaipur', 'hindi', 'hindu', 'travel india', 'india travels', 'travel india 2022', 'travel india today', 'india travel vlog']",2022-11-23T10:20:43Z,46532,3978,,845,PT38M2S,false
