,video_id,channelTitle,title,description,tags,publishedAt,viewCount,likeCount,favouriteCount,commentCount,duration,caption
10,wAppCTDtW3Y,touropia,10 Best Places to Visit in the Netherlands - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-the-netherlands/

The Netherlands is a densely populated country in part reclaimed from the sea with about half of its land lying below sea level. Many tourist only come to the Netherlands to visit Amsterdam. But Holland has plenty to offer outside its capital. Crisscrossed with canals, the flat landscape is perfect for cycling with historic town centers and classic windmills sprinkled across the country. During springtime the flower gardens become great tourist attractions providing a bold spectacle of vivid colors. Here’s a look at the best places to visit in the Netherlands.","['netherlands', 'holland', 'netherlands travel', 'holland travel', 'amsterdam', 'amsterdam travel', 'netherlands tourism', 'holland tourism', 'gouda', 'rotterdam', 'maastricht', 'delft', 'utrecht', 'the hague']",2021-01-13T14:05:45Z,975641,10904,,604,PT14M11S,true
11,oZRBUBbfIJ8,touropia,10 Best Places to Visit in Switzerland - Travel Video,"14 Most Scenic Small Towns in Switzerland
http://bit.ly/2KjgJOx

10 Most Beautiful Castles in Switzerland
http://bit.ly/2ZpyS0m

Switzerland is a small country that sits smack dab in the middle of the Alps, making for 360-degree scenery wherever a person finds themselves. Numerous lakes also add to the picture postcard look of this country, whose most famous citizen may have been the fictional Heidi. From banks to bucolic alpine meadows, Switzerland has it all. An overview of the best places to visit in Switzerland:","['interlaken', 'lausanne', 'geneva', 'lake geneva', 'bern', 'zermatt', 'lugano', 'jungfrau region', 'zurich', 'lucerne', 'switzerland tourism', 'swizerland travel', 'best places to visit in switzerland', 'top 10 switzerland']",2017-10-23T14:14:06Z,5897199,44853,,2558,PT12M13S,true
12,MQROYY0dY9A,touropia,10 Best Places to Visit in Florida - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-florida/

When most people think of Florida, they think of sunshine, theme parks, orange juice and alligators. But this former Spanish colony, which became the 27th state to enter the Union, is much more than that. Bordered by the Atlantic Ocean on one side and the Gulf of Mexico on the other, it has mile upon mile of white sand beaches. Its moderate climate makes it a popular tourist destination all year round. Here’s a look at the best places to visit in Florida.","['florida', 'florida tourism', 'florida travel', 'orlando', 'miami', 'key west', 'miami beach', 'florida keys', 'naples florida', 'disney world', 'Kennedy Space Center', 'St. Augustine', 'Fort Lauderdale', 'clearwater beach', 'Everglades', 'tampa', 'florida beach', 'top 10 florida', 'florida attractions']",2021-05-12T13:19:47Z,1290333,15019,,554,PT15M47S,true
13,_gWGwPp09CA,touropia,10 Best Places to Visit in Mexico - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-mexico/

Gorgeous beaches, a delicious culinary scene, festive culture and ancient pyramids all make Mexico a popular tourist destination. Mexico is a land of color and contrasts. Crowded beaches lead into quiet colonial towns while resort cities open gateways to jungles ringing with parrots and howler monkeys. Majestic mountains descend to remote deserts. Traditional pueblo houses sit near Spanish haciendas. Ruins of Mayan cities lie excavated outside of modern metropolises. Here’s a look at the best places to visit in Mexico:","['mexico', 'mexico city', 'mexico travel', 'mexico tourism', 'mexico places', 'cancun', 'tulum', 'chichen itza', 'San Miguel de Allende', 'copper canyon', 'Guanajuato', 'Oaxaca', 'Puerto Vallarta', 'Teotihuacan']",2021-01-07T14:26:19Z,633397,14786,,319,PT17M28S,true
14,BHdIQy00_p4,touropia,10 Best Places to Visit in Canada - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-canada/

Awe-inspiring scenery, vibrant cities and a welcoming atmosphere all make Canada a popular tourist destination. As the largest country in North America, Canada is a vast land encompassing majestic mountains, virgin forests, spacious prairies and Arctic tundra. While much of the nation is of British and French descent, Canada is home to a mosaic of multicultural communities. Here's a look at  the best places to visit in Canada.","['canada', 'canada travel', 'canada tourism', 'canada places', 'canada attractions', 'toronto', 'vancouver', 'vancouver island', 'montreal', 'Churchill manitoba', 'Banff National Park', 'niagara falls', 'cape breton', 'quebec city', 'Whistler']",2020-07-07T18:31:36Z,2880538,32122,,1720,PT16M22S,true
15,0XoT1z-gAQw,touropia,10 Best Places to Visit in Hawaii - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-hawaii/

America’s 50th state, Hawaii is a volcanic archipelago located in the heart of the Pacific Ocean. As it was the last state to join the US in 1959, the islands still retain much of their unique Hawaiian identity. Due to all the magnificent scenery, it’s worth spending as much time as possible outdoors, either hiking among the volcanoes, surfing the surrounding waves, or snorkeling above its colorful coral reefs. Here’s a look at the best places to visit in Hawaii:","['hawaii', 'hawaii tourism', 'hawaii travel', 'hawaii attractions', 'honolulu', 'oahu', 'Molokai', 'big island', 'Hapuna', 'Kaanapali', 'napali', 'Lanikai', 'Haleakala', 'Maui', 'Waimea', 'pearl harbor']",2021-09-02T13:00:01Z,613577,11070,,249,PT13M25S,true
16,EdKDIph5IaM,touropia,10 Best Places to Visit in New Zealand,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-new-zealand/

Comprised of two main islands, North Island and South Island, New Zealand is an incredible destination to discover. Packed with unforgettable landscapes, breathtaking scenery, and an unparalleled combination of lakes, mountains, and lush greenery, the island nation has to be seen to be truly understood. While touring New Zealand, be sure to give equal time to its lively cities and its more stunning natural landmarks. Here’s a look at the best places to visit in New Zealand.","['best places to visit in New Zealand', 'new zealand places', 'top 10 new zealand', 'new zealand travel', 'new zealand tourism', 'auckland', 'fiordland national park', 'queenstown', 'Tongariro National Park', 'Bay of Islands', 'Rotorua', 'Napier', 'Glacier Country', 'Kaikoura', 'Coromandel Peninsula']",2018-12-18T22:24:39Z,3349043,26120,,1510,PT12M5S,true
17,S7W8yoQeLGA,Must Do Travels,Top 20 Places To Visit In the World,"Hey Must Do Travelers! Today we are taking a look at the top 20 places to visit in 2020. Let’s check out what made the list! 

Ireland
Ireland's breathtaking landscapes, great beer and super welcoming people are found in all of its major cities such as Dublin, Belfast and Galway. Some of the top spots are the famous Guinness Storehouse, Cliffs of Moher and Temple Bar. 

Amsterdam
Amsterdam is best known for its artistic heritage, elaborate canal system and narrow houses built back in the 17th century. Cycling is also essential to the city’s character and culture which makes it easy to get around this amazing city. Visitors also come to see the Red Light District with the iconic red neon windows and clubs with various different shows.

Tokyo
Japan’s busy capital has the perfect mix of being ultramodern and traditional in a big city, from neon-lit skyscrapers to historic temples. Some of the can’t miss spots are the Tokyo Skytree, Tokyo Tower and Senso Ji. 

Rio
Rio de Janeiro is a huge seaside city in Brazil that is known for its beautiful coastlines and incredible culture. Here, you can visit the iconic Jesus Christ statue on Mount Corcovado and climb up to the top of Sugarloaf Mountain for some breathtaking views! 

Orlando
Orlando is home to more than a dozen theme parks but its claims to fame is Walt Disney World and Universal Orlando, which gets out the kid in all of us! 

New York
New York City is really the city that never sleeps that has amazing eats, extravagant Broadway plays, beautiful art museums and so much more.

Bali
Bali is an amazing Indonesian island known for its forested volcanic mountains, iconic beaches and coral reefs. Come here for the ultimate relaxation vacation!

Riviera Maya
The Riviera Maya is a stretch of the Caribbean coastline in Mexico that is known for its relaxing all-inclusive resorts and its long beaches. 

Chile
Chile stretches across South America, reaching from the driest desert on earth to vast southern glacier fields. 

Canada
Canada is a great place to visit and gives you all the experiences you’ll ever need! You can enjoy the beautiful Rocky mountain landscape in Banff, indulge in the rich cultural city of Montreal and embark in the fast-paced lifestyle of Toronto. 

California
Going to California is always a good idea! From the iconic city of Los Angeles, you can go all the way down the Pacific Coast highway to San Francisco and enjoy the beautiful coast! 

Gold Coast Australia
The Gold Coast is the on the coast in Brisbane and is famed for its long sandy beaches and perfect surfing spots.

New England
New England is a northeastern region of the United States comprising the states of Maine, Vermont, New Hampshire, Massachusetts, Connecticut and Rhode Island. Boston is the region’s hub and a super fun and historic city to visit. 

Italy
Stuff your face with best pizzas and pastas in some of the most beautiful cities in the world. In the country’s capital, Rome you can find the Vatican as well as ancient ruins. Other major cities include Florence, with Renaissance masterpieces such as Michelangelo’s ""David"" and Venice, the city of canals and Milan, Italy’s fashion capital.

Kauai
Known as a hidden gem in Hawaii, Kaua’i offers the most beautiful green scenery and multiple natural landmarks such as Waimea Canyon, Wailua Falls, the Napali Coast, Queen’s Bath and so much more. Kaua’i is definitely a must do!

Spain
Spain is a country in Europe that contains 17 autonomous regions with a diverse geography and many cultures. Here, you can find the famous Park Guell, La Sagrada Familia and the Picasso Museum. Some other notable spots are Madrid, Ibiza, and Mallorca.

Dubai
Dubai is a city in the United Arab Emirates that is known for luxury shopping, ultramodern architecture and a lively nightlife scene. 

Singapore
Singapore is a city-state in southern Malaysia that is known as a global financial hub and one of the most luxurious places to visit.

Greek Islands
Each one of the Greek islands such as Ios, Mykonos, Paros and Santorini, just to name a few, offer something special and unique, but they are all tied to a long history and culinary adventure! 

Switzerland
Switzerland is a mountainous country in Europe that is home to numerous lakes, villages and the high peaks of the Alps. Some of the top places to visit are Interlaken and Grindelwald, which both give you an ultra enchanted feel! 

--------------------------------------------------------------------------------------

Join Must Do Travels, the largest community of travel enthusiasts from around the world. We’re not just another travel brand, we’re a movement designed to join modern culture with desired destinations. Must Do Travels is inspired by lovers, dreamers and adventures worldwide. Our mission is simple: Do what you want to do. Travel anywhere, anytime – easily.

Twitter: https://twitter.com/mustdotravels
Facebook: https://www.facebook.com/mustdotravels
Instagram: http://instagram.com/mustdotravels","['Must Do Travels', 'Must Do', 'Travel', 'Vacation', 'Guide', 'Travel Guide', 'Vacation Guide', '2020', 'places to visit in 2020', 'top places to visit', 'top places to visit in 2020', 'top 10 places to visit in 2020', 'ireland', 'amsterdam', 'tokyo', 'rio', 'rio de janeiro', 'orlando', 'new york', 'bali', 'riviera maya', 'chile', 'canada', 'california', 'gold coast', 'australia', 'italy', 'kauai', 'spain', 'dubai', 'singapore', 'greek islands', 'switzerland', 'mexico', 'montreal', 'toronto', 'new england', 'boston', 'mykonos', 'santorini', 'grindelwald', 'venice', 'rome', 'florence', 'maine', 'banff']",2019-11-10T23:04:23Z,427342,3959,,453,PT16M48S,false
18,ZjFzkhrqIZs,touropia,10 Best Places to Visit in the Philippines - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-the-philippines/

The Philippines is an island nation located in the Western Pacific. The region boasts one of the world’s longest combined coastlines due to the nation’s seven thousand tropical islands. From pristine beaches and marvelous natural wonders to interesting historic sites and beautiful coral reefs, the Philippines pack many exciting things to see and do. Here is a look at some of the best places to visit in the Philippines:","['Philippines', 'Philippines travel', 'Philippines tourism', 'Philippines attractions', 'palawan', 'vigan', 'Manila', 'bohol', 'whale sharks', 'donsol', 'Tagaytay', 'Siargao', 'cebu', 'Ifugao', 'batad', 'Banaue', 'Boracay']",2020-07-30T14:06:06Z,3081540,48080,,1620,PT15M44S,false
19,PdVLk_dPmtc,touropia,10 Best Places to Visit in Australia - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-australia/

Located between the Pacific and Indian Oceans, Australia is the world’s largest island and its smallest continent. There’s room to move in the Land Down Under, and with so many sights to discover and enjoy, there’s a great incentive to go on a walkabout adventure. Whether exploring the traditional lifestyle of the nation’s Aboriginal people, relaxing on a sun-kissed beach or reveling the night away in a city hot spot, Australia has something special to offer every visitor. Here’s a look at the best places to visit in Australia:","['australia travel', 'top 10 australia', 'best places to visit in australia', 'australia places', 'cairns', 'adelaide', 'tasmania', 'perth', 'sydney', 'kakadu national park', 'great barrier reef', 'melbourne', 'brisbane', 'Uluru-Kata Tjuta National Park']",2018-11-04T00:01:15Z,2694319,60622,,1306,PT11M39S,false
20,FlRwssZYRM0,touropia,10 Best Places to Visit in Italy - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-italy/

Located in Southern Europe, this boot-shaped country is one of the world’s most popular travel destinations for a number of reasons that include art treasures, trendy fashion, stunning landscapes, passionate people and top-class cuisine. Italy offers so much to see and do that it would take a lifetime to explore.","['italy travel', 'top 10 italy', 'italy tourism', 'best places to visit in italy', 'italy places', 'italy attractions', 'rome', 'venice', 'tuscany', 'siena', 'florence', 'pisa', 'cinque terre', 'amalfi coast', 'positano', 'milan', 'lake como', 'lake garda', 'naples italy', 'sicily', 'palermo', 'pompeii']",2019-05-03T22:40:53Z,5501446,45125,,2795,PT15M8S,true
21,uXyy7lgDj9k,touropia,10 Best Places to Visit in Norway - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-norway/

From its majestic mountains and famous fjords to its modern yet picturesque cities, Norway is simply one of the most beautiful countries in the world. Picture-perfect landscapes beg to be explored by foot, car, bike or boat. Whether taking in the breathtaking wonder of the northern lights or the summer sun glistening on a massive glacier, Norway is a great adventure in any season. Here’s a look at the best places to visit in Norway:","['oslo', 'lofoten islands', 'geirangerfjord', 'trondheim', 'bergen', 'best places in norway', 'best places to visit in norway', 'top 10 norway', 'norway travel', 'norway places', 'norway tourism', 'alesund', 'svalbard', 'spitsbergen', 'tromso', 'Jotunheimen National Park', 'Sognefjord']",2018-09-01T09:10:05Z,3593281,35685,,2128,PT11M18S,true
22,IwtNFzX0ni8,touropia,10 Best Places to Visit in Indonesia - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-indonesia/

With over 18000 islands, Indonesia is the largest archipelago in the world. The island nation is home to 167 active volcanoes, far more than any other country and has some of the largest remaining tracts of tropical forest anywhere in the world. Indonesia is both a leisure seeker’s dream and an adventurer’s playground. Whether you’re looking to bronze on beautiful beaches, hike in search of endangered orangutan, or snorkel among some of the most beautiful coral reefs on Earth, this country has something for everyone. Here’s a look at the best places to visit in Indonesia:","['indonesia', 'indonesia travel', 'indonesia tourism', 'indonesia attractions', 'Raja Ampat', 'flores island', 'lombok', 'bali', 'java', 'sumatra', 'Torajaland', 'bunaken', 'lake toba', 'Mount Bromo', 'komodo', 'Yogyakarta', 'borobudur', 'Prambanan']",2020-09-09T14:11:21Z,1525490,28414,,1618,PT16M17S,true
23,o0PT6bOwfFM,touropia,10 Best Places to Visit in Belgium - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-belgium/
Traveling in Belgium brings forth images of medieval rooftops, lovely canals, tasty beer, and even more indulgent chocolates. However, there is much for one to see in this remarkable European country, where time seems to move at a slower pace and the people are welcoming to tourists. From modern cities boasting designer shops to cobblestone streets laden with museums, here are the best places to visit in Belgium.","['belgium', 'belgium travel', 'belgium tourism', 'brussels', 'bruges', 'antwerp', 'ghent', 'Ardennes', 'Mechelen', 'tournai', 'leuven', 'dinant']",2021-10-13T11:32:36Z,317647,4558,,326,PT12M54S,true
24,Z8XP7UjzvnU,touropia,10 Best Places to Visit in Portugal - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-portugal/

Located on the western coast of the Iberian peninsula, Portugal is one of Europe’s most visited countries due to its idyllic climate, affordable travel costs and exceptional attractions. Portugal’s varied geography ranges from the verdant mountains and vineyards of the North to the glamorous beaches of the Algarve along the southern coastline. Also belonging to Portugal but lying in the Atlantic Ocean are the archipelagos of Azores and Madeira, known for their lush landscapes and flower gardens. Here’s a look at the best places to visit in Portugal.","['Coimbra', 'Lisbon', 'Porto', 'Algarve', 'Azores', 'Evora', 'Aveiro', 'Portugal Travel', 'Best Places to Visit in Portugal', 'Portugal Places', 'Top 10 Portugal', 'Portugal Tourism', 'Places to Visit in Portugal', 'Madeira', 'Sintra', 'Pena Palace', 'Obidos']",2018-07-25T14:37:15Z,2928806,25899,,1272,PT12M14S,true
25,b7FNvq11CEw,touropia,25 Best Places to Visit in the USA - Travel Video,"Check out all the places seen in this video: https://www.touropia.com/best-places-to-visit-in-usa/

Comprised of 50 states, the USA occupies an area that’s only just marginally smaller than Europe. It’s in this vast country that you will find an unbelievably diverse array of natural landscapes, cityscapes, people and cultures. From the tropical islands of Hawaii to the desert landscape of the Grand Canyon, as well as the multicultural cities such as Chicago and New York City, you’ll never be stuck for destinations to discover. Here’s a look at the best places to visit in the USA:","['usa travel', 'usa tourism', 'best places to visit in usa', 'usa places', 'washington dc', 'new york city', 'hawaii', 'alaska', 'florida', 'miami', 'orlando', 'seattle', 'niagara falls', 'aspen', 'atlanta', 'Yosemite National Park', 'zion national park', 'San Antonio', 'Savannah', 'Philadelphia', 'sedona', 'San Diego', 'denali national park', 'boston', 'chicago', 'los angeles', 'grand canyon', 'yellowstone national park', 'las vegas', 'san francisco']",2019-07-03T14:12:17Z,8541878,67097,,4778,PT28M39S,true
